Id,Date,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Day of week,Activity level
2320127002,9/04/2016,4863,3.28,3.28,0.00,0.06,0.42,2.80,0.00,1,11,208,1220,1772,Sunday,Low
2320127002,10/04/2016,2277,1.53,1.53,0.00,0.00,0.00,1.53,0.00,0,0,103,1337,1530,Tuesday,Low
2320127002,11/04/2016,11230,7.67,7.67,0.00,0.89,0.12,6.66,0.00,10,2,390,1038,2206,Friday,High
2320127002,12/04/2016,2098,1.41,1.41,0.00,0.00,0.00,1.41,0.00,0,0,69,617,790,Sunday,Low
2347167796,3/29/2016,10272,6.79,6.79,0.00,0.16,3.12,3.50,0.00,2,58,208,700,2041,Tuesday,High
2347167796,3/30/2016,10533,7.10,7.10,0.00,1.77,2.06,3.27,0.00,21,35,255,615,2187,Wednesday,High
2347167796,3/31/2016,6760,4.47,4.47,0.00,0.00,0.00,4.47,0.00,0,0,250,613,1929,Thursday,Moderate
2347167796,1/04/2016,8328,5.51,5.51,0.00,0.00,2.00,3.50,0.00,0,33,212,804,1935,Monday,Moderate
2347167796,2/04/2016,15459,10.22,10.22,0.00,3.59,0.81,5.82,0.00,51,16,327,583,2438,Thursday,High
2347167796,3/04/2016,7485,4.95,4.95,0.00,0.00,0.00,4.95,0.00,0,0,324,491,2035,Friday,Moderate
2347167796,4/04/2016,10254,6.80,6.80,0.00,1.42,1.23,4.16,0.00,21,25,231,638,2099,Monday,High
2347167796,5/04/2016,10114,6.82,6.82,0.00,1.64,0.48,4.68,0.00,18,9,269,696,2096,Wednesday,High
2347167796,6/04/2016,11107,7.34,7.34,0.00,0.90,2.76,3.68,0.00,14,46,196,759,2058,Saturday,High
2347167796,7/04/2016,10320,6.85,6.85,0.00,0.68,1.23,4.94,0.00,15,32,315,1002,2338,Monday,High
2347167796,8/04/2016,10209,6.75,6.75,0.00,0.16,0.35,6.23,0.00,2,6,316,711,2104,Thursday,High
2347167796,9/04/2016,16081,10.63,10.63,0.00,1.25,1.82,7.56,0.00,16,32,401,970,2488,Sunday,High
2347167796,10/04/2016,10078,6.83,6.83,0.00,1.02,0.12,5.69,0.00,12,3,303,463,2164,Tuesday,High
2347167796,11/04/2016,10001,6.61,6.61,0.00,0.33,2.93,3.36,0.00,5,52,196,788,2009,Friday,High
2347167796,12/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,425,399,Sunday,Low
2873212765,1/04/2016,890,0.60,0.60,0.00,0.00,0.00,0.60,0.00,0,0,41,1399,1335,Monday,Low
2873212765,2/04/2016,2214,1.49,1.49,0.00,0.00,0.00,1.49,0.00,0,0,197,1243,1559,Thursday,Low
2873212765,3/04/2016,7640,5.13,5.13,0.00,0.19,0.80,4.15,0.00,3,15,315,1107,1845,Friday,Moderate
2873212765,4/04/2016,9713,6.53,6.53,0.00,0.34,0.89,5.29,0.00,6,24,355,1055,2046,Monday,Moderate
2873212765,5/04/2016,8432,5.67,5.67,0.00,0.00,0.00,5.65,0.01,0,0,374,1066,1953,Wednesday,Moderate
2873212765,6/04/2016,7350,4.94,4.94,0.00,0.00,0.00,4.94,0.00,0,0,382,1058,1910,Saturday,Moderate
2873212765,7/04/2016,9353,6.31,6.31,0.00,0.37,0.69,5.24,0.00,5,17,363,1055,2035,Monday,Moderate
2873212765,8/04/2016,7157,4.81,4.81,0.00,0.00,0.00,4.81,0.00,0,0,380,1060,1944,Thursday,Moderate
2873212765,9/04/2016,14103,9.56,9.56,0.00,3.02,0.41,6.14,0.01,46,8,288,1098,2257,Sunday,High
2873212765,10/04/2016,5290,3.55,3.55,0.00,0.04,0.34,3.17,0.00,1,8,251,1180,1724,Tuesday,Moderate
2873212765,11/04/2016,7497,5.04,5.04,0.00,0.00,0.00,5.04,0.00,0,0,357,882,1741,Friday,Moderate
2873212765,12/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,0,Sunday,Low
2891001357,3/29/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1920,Tuesday,Low
2891001357,3/30/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1920,Wednesday,Low
2891001357,3/31/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1920,Thursday,Low
2891001357,1/04/2016,0,0.00,0.00,4.83,0.00,0.00,0.00,0.00,0,660,0,780,4562,Monday,Low
2891001357,2/04/2016,4126,3.22,0.00,3.22,0.00,0.00,3.22,0.00,0,0,720,720,2881,Thursday,Low
2891001357,3/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1920,Friday,Low
2891001357,4/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1920,Monday,Low
2891001357,5/04/2016,2063,1.61,0.00,1.61,0.00,0.00,1.61,0.00,0,0,630,99,1144,Wednesday,Low
3372868164,1/04/2016,5785,3.95,3.95,0.00,0.00,0.00,3.91,0.04,0,0,311,1129,1852,Monday,Moderate
3372868164,2/04/2016,7625,5.23,5.23,0.00,1.68,0.04,3.50,0.01,24,1,341,1074,2069,Thursday,Moderate
3372868164,3/04/2016,4706,3.21,3.21,0.00,0.00,0.00,3.21,0.00,0,0,299,1141,1816,Friday,Low
3372868164,4/04/2016,5861,4.02,4.02,0.00,1.30,0.22,2.49,0.01,20,7,233,1180,1878,Monday,Moderate
3372868164,5/04/2016,4460,3.04,3.04,0.00,0.00,0.00,3.02,0.03,0,0,248,1192,1787,Wednesday,Low
3372868164,6/04/2016,6406,4.39,4.39,0.00,0.78,0.09,3.52,0.01,17,4,325,1094,2010,Saturday,Moderate
3372868164,7/04/2016,7392,5.10,5.10,0.00,0.87,0.16,4.05,0.02,14,9,332,1085,2038,Monday,Moderate
3372868164,8/04/2016,5551,3.79,3.79,0.00,0.00,0.00,3.77,0.01,0,0,282,1158,1815,Thursday,Moderate
3372868164,9/04/2016,8827,6.25,6.25,0.00,1.77,0.48,4.00,0.01,21,10,346,1063,2062,Sunday,Moderate
3372868164,10/04/2016,4662,3.18,3.18,0.00,1.04,0.15,1.99,0.00,22,4,152,735,1276,Tuesday,Low
3977333714,1/04/2016,4499,3.01,3.01,0.00,0.00,0.00,3.01,0.00,0,0,168,842,1288,Monday,Low
3977333714,2/04/2016,7618,5.10,5.10,0.00,0.00,0.18,4.91,0.00,0,6,302,842,1490,Thursday,Moderate
3977333714,3/04/2016,11508,7.70,7.70,0.00,2.17,0.84,4.69,0.00,29,22,282,748,1630,Friday,High
3977333714,4/04/2016,11943,7.99,7.99,0.00,1.03,2.01,4.95,0.00,16,43,297,710,1648,Monday,High
3977333714,5/04/2016,12303,8.23,8.23,0.00,1.71,1.35,5.17,0.00,26,32,291,605,1649,Wednesday,High
3977333714,6/04/2016,15425,10.32,10.32,0.00,1.62,1.82,6.87,0.00,24,45,331,614,1783,Saturday,High
3977333714,7/04/2016,8422,5.63,5.63,0.00,0.00,3.60,2.04,0.00,0,81,139,815,1431,Monday,Moderate
3977333714,8/04/2016,10226,6.84,6.84,0.00,0.00,4.44,2.40,0.00,0,101,174,685,1524,Thursday,High
3977333714,9/04/2016,14583,9.76,9.76,0.00,2.48,1.74,5.53,0.00,35,36,254,697,1697,Sunday,High
3977333714,10/04/2016,3573,2.39,2.39,0.00,0.94,0.41,0.97,0.00,15,8,99,866,1232,Tuesday,Low
3977333714,11/04/2016,3108,2.14,2.14,0.00,0.07,0.04,1.96,0.00,1,1,129,894,1223,Friday,Low
3977333714,12/04/2016,759,0.57,0.57,0.00,0.00,0.00,0.57,0.00,0,0,17,187,182,Sunday,Low
4020332650,12/03/2016,5543,3.97,3.97,0.00,0.00,0.00,3.96,0.01,0,0,254,757,2990,Saturday,Moderate
4020332650,3/13/2016,3226,2.31,2.31,0.00,0.00,0.00,2.28,0.00,0,0,136,771,2480,Sunday,Low
4020332650,3/14/2016,3023,2.17,2.17,0.00,0.00,0.00,2.14,0.00,0,0,145,1005,2570,Monday,Low
4020332650,3/15/2016,5906,4.23,4.23,0.00,0.00,0.16,4.04,0.00,0,10,215,874,3016,Tuesday,Moderate
4020332650,3/16/2016,12483,8.99,8.99,0.00,1.45,0.57,6.90,0.00,25,14,309,599,3830,Wednesday,High
4020332650,3/17/2016,8940,6.41,6.41,0.00,0.00,0.00,0.61,0.04,0,0,47,986,3706,Thursday,Moderate
4020332650,3/18/2016,368,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,2024,Friday,Low
4020332650,3/19/2016,5702,4.09,4.09,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,2980,Saturday,Moderate
4020332650,3/20/2016,10330,7.41,7.41,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,3728,Sunday,High
4020332650,3/21/2016,8778,6.29,6.29,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,3348,Monday,Moderate
4020332650,3/22/2016,6662,4.78,4.78,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,3162,Tuesday,Moderate
4020332650,3/23/2016,6309,4.52,4.52,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,3140,Wednesday,Moderate
4020332650,3/24/2016,1951,1.41,1.41,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1980,Thursday,Low
4020332650,3/25/2016,5563,3.99,3.99,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,3681,Friday,Moderate
4020332650,3/26/2016,4370,3.13,3.13,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,3444,Saturday,Low
4020332650,3/27/2016,7144,5.12,5.12,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,3510,Sunday,Moderate
4020332650,3/28/2016,2106,1.51,1.51,0.00,0.02,0.05,0.21,0.00,31,45,75,1289,4010,Monday,Low
4020332650,3/29/2016,4152,2.98,2.98,0.00,0.00,0.00,2.96,0.00,0,0,187,1253,2976,Tuesday,Low
4020332650,3/30/2016,5400,3.87,3.87,0.00,0.00,0.00,3.85,0.00,0,0,258,795,3418,Wednesday,Moderate
4020332650,3/31/2016,7428,5.33,5.33,0.00,0.87,0.92,3.51,0.00,18,33,261,860,3439,Thursday,Moderate
4020332650,1/04/2016,5351,3.84,3.84,0.00,0.62,0.18,3.01,0.00,15,17,210,748,3338,Monday,Moderate
4020332650,2/04/2016,4299,3.10,3.10,0.00,0.09,0.21,2.74,0.04,3,15,162,752,2892,Thursday,Low
4020332650,3/04/2016,6107,4.38,4.38,0.00,0.00,0.00,4.36,0.00,0,0,265,776,3313,Friday,Moderate
4020332650,4/04/2016,6429,4.60,4.60,0.00,0.00,0.95,3.65,0.00,0,28,193,741,3118,Monday,Moderate
4020332650,5/04/2016,6880,4.93,4.93,0.00,0.50,0.76,3.65,0.00,7,19,165,1249,2966,Wednesday,Moderate
4020332650,6/04/2016,7476,5.36,5.36,0.00,0.00,0.00,5.31,0.00,0,0,263,920,3253,Saturday,Moderate
4020332650,7/04/2016,6581,4.72,4.72,0.00,0.00,0.29,4.39,0.00,0,8,241,1191,3032,Monday,Moderate
4020332650,8/04/2016,10480,7.51,7.51,0.00,0.41,1.47,5.01,0.04,6,37,272,1125,4034,Thursday,High
4020332650,9/04/2016,7734,5.55,5.55,0.00,1.16,0.49,3.82,0.06,20,12,223,1185,3264,Sunday,Moderate
4020332650,10/04/2016,5129,3.68,3.68,0.00,0.18,0.24,3.21,0.01,5,7,176,1178,2817,Tuesday,Moderate
4020332650,11/04/2016,2993,2.15,2.15,0.00,0.00,0.00,2.09,0.00,0,0,114,888,2507,Friday,Low
4020332650,12/04/2016,8,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0,0,1,321,446,Sunday,Low
4057192912,12/03/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1777,Saturday,Low
4057192912,3/13/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1777,Sunday,Low
4057192912,3/14/2016,8433,6.23,6.23,0.00,2.45,0.33,3.44,0.00,30,7,135,1268,2453,Monday,Moderate
4057192912,3/15/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1776,Tuesday,Low
4057192912,3/16/2016,2139,1.56,1.56,0.00,0.00,1.30,0.26,0.00,0,28,15,1397,1935,Wednesday,Low
4057192912,3/17/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1776,Thursday,Low
4057192912,3/18/2016,949,0.69,0.69,0.00,0.00,0.00,0.69,0.00,0,0,34,1406,1870,Friday,Low
4057192912,3/19/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1777,Saturday,Low
4057192912,3/20/2016,44,0.03,0.03,0.00,0.00,0.00,0.03,0.00,0,0,2,1438,1782,Sunday,Low
4057192912,3/21/2016,2660,1.94,1.94,0.00,0.00,0.00,1.94,0.00,0,0,46,1394,1978,Monday,Low
4057192912,3/22/2016,5561,4.19,4.19,0.00,0.00,0.00,4.07,0.00,0,0,169,1271,2296,Tuesday,Moderate
4057192912,3/23/2016,7239,5.34,5.34,0.00,0.55,0.36,4.38,0.00,7,7,190,1236,2484,Wednesday,Moderate
4057192912,3/24/2016,7,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0,0,1,1439,1787,Thursday,Low
4057192912,3/25/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1776,Friday,Low
4057192912,3/26/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1776,Saturday,Low
4057192912,3/27/2016,2275,1.68,1.68,0.00,0.00,0.00,1.66,0.00,0,0,86,1354,2005,Sunday,Low
4057192912,3/28/2016,8,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0,0,1,1439,1778,Monday,Low
4057192912,3/29/2016,5137,3.76,3.76,0.00,0.00,0.00,3.76,0.00,0,0,160,1280,2293,Tuesday,Moderate
4057192912,3/30/2016,5419,4.00,4.57,0.06,0.00,0.00,3.91,0.06,0,0,145,1295,2259,Wednesday,Moderate
4057192912,3/31/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1776,Thursday,Low
4057192912,1/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1776,Monday,Low
4057192912,2/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1776,Thursday,Low
